,DEPOSIT,RETRIEVAL,ID,ORDER_DEPOSIT,ORDER_RETRIEVAL
1,2021-01-01T04:51:44Z,2021-01-05T14:54:49Z,1,2020-12-31T06:29:26Z,2020-12-31T06:29:26Z
2,2021-01-01T18:14:23Z,2021-01-12T21:09:45Z,2,2021-01-01T18:14:23Z,2021-01-10T10:17:19Z
3,2021-01-01T11:26:36Z,2021-01-09T13:28:05Z,3,2020-12-30T22:29:03Z,2021-01-05T13:20:09Z
4,2021-01-01T15:37:58Z,2021-01-03T20:42:37Z,4,2020-12-30T11:35:33Z,2020-12-30T11:35:33Z
5,2021-01-01T08:39:26Z,2021-01-16T07:13:04Z,5,2020-12-30T12:50:21Z,2021-01-02T03:23:38Z
6,2021-01-01T08:02:21Z,2021-01-20T05:34:52Z,6,2020-12-29T23:58:41Z,2021-01-13T06:52:34Z
7,2021-01-01T16:33:37Z,2021-01-08T12:16:23Z,7,2020-12-31T06:27:02Z,2020-12-31T06:27:02Z
8,2021-01-01T08:30:56Z,2021-01-12T22:50:00Z,8,2020-12-30T05:57:29Z,2020-12-30T05:57:29Z
9,2021-01-01T17:53:47Z,2021-01-09T22:19:10Z,9,2020-12-30T11:54:51Z,2020-12-30T11:54:51Z
10,2021-01-01T14:12:49Z,2021-01-04T06:00:23Z,10,2020-12-30T06:10:52Z,2020-12-30T06:10:52Z
11,2021-01-01T18:08:03Z,2021-01-29T13:04:57Z,11,2020-12-31T06:35:07Z,2021-01-20T01:42:04Z
12,2021-01-01T07:28:15Z,2021-01-01T20:05:37Z,12,2020-12-30T22:49:46Z,2020-12-30T22:49:46Z
13,2021-01-01T07:38:08Z,2021-01-08T19:54:48Z,13,2020-12-30T14:27:49Z,2021-01-02T19:02:04Z
14,2021-01-02T21:58:05Z,2021-01-08T16:26:19Z,14,2021-01-02T02:08:15Z,2021-01-02T02:08:15Z
15,2021-01-02T05:30:44Z,2021-01-02T06:48:59Z,15,2020-12-31T14:32:01Z,2020-12-31T14:32:01Z
16,2021-01-02T09:43:52Z,2021-01-12T15:32:11Z,16,2020-12-30T22:33:55Z,2021-01-07T20:26:36Z
17,2021-01-02T07:29:02Z,2021-01-25T19:29:25Z,17,2020-12-31T18:03:25Z,2021-01-11T16:47:00Z
18,2021-01-02T05:21:48Z,2021-01-28T17:09:40Z,18,2020-12-31T02:07:44Z,2021-01-12T20:03:58Z
19,2021-01-02T10:15:43Z,2021-01-10T21:59:32Z,19,2021-01-01T06:49:30Z,2021-01-01T06:49:30Z
20,2021-01-02T07:20:10Z,2021-01-16T06:54:55Z,20,2021-01-02T07:20:10Z,2021-01-02T07:20:10Z
21,2021-01-02T18:37:42Z,2021-01-04T05:13:03Z,21,2020-12-30T07:39:49Z,2020-12-30T07:39:49Z
22,2021-01-02T16:15:52Z,2021-01-11T21:21:26Z,22,2020-12-31T16:15:04Z,2020-12-31T16:15:04Z
23,2021-01-02T15:18:48Z,2021-01-20T13:04:21Z,23,2020-12-31T21:51:19Z,2021-01-15T12:46:09Z
24,2021-01-03T04:58:04Z,2021-01-06T06:16:19Z,24,2021-01-01T12:04:57Z,2021-01-01T12:04:57Z
25,2021-01-03T05:13:36Z,2021-01-03T16:56:21Z,25,2021-01-03T03:38:22Z,2021-01-03T03:38:22Z
26,2021-01-03T04:43:15Z,2021-01-23T13:56:23Z,26,2021-01-01T03:49:31Z,2021-01-01T03:49:31Z
27,2021-01-03T12:13:49Z,2021-01-20T18:22:39Z,27,2020-12-31T04:41:39Z,2021-01-03T03:19:57Z
28,2021-01-03T17:22:38Z,2021-01-20T22:34:43Z,28,2020-12-31T20:44:59Z,2021-01-06T03:49:01Z
29,2021-01-03T18:20:25Z,2021-01-23T05:50:00Z,29,2020-12-31T22:15:19Z,2021-01-13T07:32:36Z
30,2021-01-03T04:02:11Z,2021-01-25T20:28:23Z,30,2020-12-30T21:16:03Z,2021-01-17T23:15:26Z
31,2021-01-03T10:52:54Z,2021-01-05T11:45:28Z,31,2021-01-02T08:35:29Z,2021-01-02T08:35:29Z
32,2021-01-03T09:00:03Z,2021-01-09T22:29:26Z,32,2020-12-31T20:49:45Z,2021-01-01T00:33:58Z
33,2021-01-03T10:46:12Z,2021-01-09T21:44:52Z,33,2021-01-02T04:25:33Z,2021-01-02T04:25:33Z
34,2021-01-03T08:47:15Z,2021-01-19T14:58:27Z,34,2021-01-02T12:00:11Z,2021-01-06T06:56:35Z
35,2021-01-03T19:12:47Z,2021-01-08T12:02:31Z,35,2020-12-31T21:17:38Z,2020-12-31T21:17:38Z
36,2021-01-03T10:42:41Z,2021-01-11T19:55:04Z,36,2021-01-01T06:49:03Z,2021-01-01T06:49:03Z
37,2021-01-03T09:37:24Z,2021-01-04T21:26:04Z,37,2021-01-01T09:53:03Z,2021-01-01T09:53:03Z
